Imp,On,TrackName,Name,TrackRefs,TrackRefsLatex,Notes,length,ra_o,dec_o,distance_o,ra_f,dec_f,distance_f,ra_mid,dec_mid,distance_mid,ra_pole,dec_pole,InfoFlags,has_empirical_track,has_D,has_pm,has_vrad,DiscoveryRefs,ID,DiscoveryYear
st,True,Murrumbidgee-G17,Murrumbidgee,grillmair2017b,Grillmair2017_south,-,123.60168363239198,124.2619830452152,-65.59620429021955,20.000000000000124,358.62974248502303,15.970793849164945,19.99999999999992,20.107025022922816,-40.17098308029597,19.99999999999997,265.70246134598256,-26.143946973296313,1000,1,0,0,0,Grillmair2017_south,54,2017
st,True,Perpendicular-W18,Perpendicular,weiss2018,Weiss2018,-,21.29543289192213,186.0140981731754,7.4731648507507575,15.100000000000005,184.31425402103113,27.496104855693567,15.6,183.40491521558508,16.663766422108846,15.292177737604074,101.48503833332738,-25.138982260001484,1100,1,1,0,0,Weiss2018,73,2018
ep,True,Palca-S18,Palca,shipp2018,Shipp2018,-,57.321494469164776,30.3,-53.7,36.3,16.2,2.4,36.3,21.43762576278167,-25.80884304040393,36.3,286.61727122629986,-9.857282983648703,0000,0,0,0,0,Shipp2018,70,2018
ep,True,Pal13-S20,Pal13,shipp2020,Shipp2020,-,10.922575773583333,344.3,8.9,23.6,350.2,18.2,23.6,347.19212224755984,13.567309067984072,23.6,248.98470572695595,30.60701163554213,0000,0,0,0,0,Shipp2018,67,2018
ep,True,Willka_Yaku-S18,Willka_Yaku,shipp2018,"Shipp2018,Shipp2019",-,6.394107609889482,36.1,-64.6,34.7,38.4,-58.3,34.7,37.36633587996069,-61.4547955053166,34.7,315.98203942485196,4.658813209029771,0020,0,0,2,0,Shipp2018,94,2018
po,True,20.0-1-M18,20.0-1,mateu2018,Mateu2018,-,36.619756415131235,280.22587880281264,-41.03140510411612,27.652558643617503,311.5228167599444,-16.281973327905273,25.12672508215179,298.18216814851223,-29.913159157392855,26.8399478664269,235.7585751063965,38.821880658377786,0000,0,0,0,0,Mateu2018,1,2018
st,True,Jet-F22,Jet,ferguson2022,Ferguson2022,-,30.292098079763534,128.9683933099929,-34.48836755914388,33.348769944147485,148.46093950293061,-10.146634363390563,27.318707710577208,138.62876814637355,-21.787137430229848,30.709567651367635,64.98300004276886,34.74700013821677,1110,1,1,1,0,Jethwa2018,39,2018
st,True,AAU-AliqaUma-L21,AAU-AliqaUma,li2021,Li2021,-,9.677187193750607,31.157871636098392,-32.87905256445056,25.60982328596275,40.87617069243974,-38.48681089393355,30.84590462757805,20.293003938048823,-26.233551979948643,21.981943139301464,74.25906756607202,47.93312422784139,1111,1,1,1,1,Shipp2018,3,2018
ep,True,Wambelong-S18,Wambelong,shipp2018,"Shipp2018,Shipp2019",-,14.162214294535357,90.5,-45.6,15.1,79.3,-34.3,15.1,84.43447293513496,-40.08405274571025,15.1,328.67318742213433,-27.312855462825976,0020,0,0,2,0,Shipp2018,93,2018
st,True,Turranburra-S19,Turranburra,shipp2019,"Shipp2019,Shipp2018",-,13.729049502785873,59.707969851551134,-18.55470175604184,27.500000000005326,72.58763057491055,-25.275910540797792,27.499999999998202,67.14116419546204,-22.183041009971852,27.500000000008185,123.4731222025375,53.283630544449196,1010,1,0,1,0,Shipp2018,92,2018
ep,True,Turbio-S18,Turbio,shipp2018,"Shipp2018,Shipp2019",-,15.000113551252028,28.0,-61.0,16.6,27.9,-46.0,16.6,27.94110409085071,-53.50001010145427,16.6,297.7652567010235,-0.13011974766366072,0020,0,0,2,0,Shipp2018,91,2018
po,True,Corvus-M18,Corvus,mateu2018,Mateu2018,-,72.95965436940452,140.7271036095488,-12.957172589531842,4.904067206838306,215.94703592273044,-19.02746204368498,14.829469443727318,178.2067594705406,-14.39531812674773,8.707238875177282,198.97012173522262,74.64953305775333,0000,0,0,0,0,Mateu2018,18,2018
st,True,Elqui-S19,Elqui,shipp2019,"Shipp2019,Shipp2018",-,10.93963280190365,10.818410685250521,-37.15286585974225,50.09999999999762,22.63395969498218,-43.37324205357674,50.09999999997603,15.457258146035025,-39.749969427187764,50.09999999999402,64.0474428097032,38.48741884340822,1010,1,0,1,0,Shipp2018,19,2018
st,True,Gaia-1-I21,Gaia-1,ibata2021,Ibata2021,-,34.570251667438086,183.09027104668317,-20.801162147112763,4.988265960487709,203.2567134659281,7.502964549814058,4.481766425070456,193.08898771204576,-6.481304964927963,5.108231242277719,107.6926865599872,35.23894423065535,1110,1,1,1,0,Malhan2018,21,2018
st,True,Jhelum-a-B19,Jhelum-a,bonaca2019,Bonaca2019,-,30.00048618453941,7.304192757587502,-52.201367503208935,13.00000000000002,321.4696898792274,-46.23993557083221,13.000000000000002,342.9753055045304,-51.37941814356957,13.000000000000005,178.3724700511055,-37.60347958737641,1010,1,0,1,0,Shipp2018,40,2018
ep,True,Ravi-S18,Ravi,shipp2018,"Shipp2018,Shipp2019",-,16.56400807451703,334.8,-44.1,22.9,344.0,-59.7,22.9,338.5946980389384,-51.98697863870478,22.9,53.19858956800088,11.723685590683116,0020,0,0,2,0,"Shipp2018,Mateu2018",81,2018
st,True,Gaia-2-I21,Gaia-2,ibata2021,Ibata2021,-,14.441411294787674,1.8375177435965913,-8.453090649276424,7.017003795725475,9.128472654728332,-21.043969053573193,7.030744226703994,5.354125146889263,-14.791114463617948,7.040692990364989,86.14114506968988,31.23035388011866,1110,1,1,1,0,Malhan2018,25,2018
ep,True,Gaia-3-M18,Gaia-3,malhan2018,Malhan2018,-,18.4983433582113,171.0,-15.0,9.0,179.0,-32.0,14.0,175.61935063833926,-25.41367702692559,12.048019998575732,255.07828298519908,21.058403202186287,0000,0,0,0,0,Malhan2018,26,2018
ep,True,Gaia-4-M18,Gaia-4,malhan2018,Malhan2018,-,8.929473218973518,163.0,-11.0,10.7,167.0,-3.0,11.5,165.0892525153473,-6.859752278190603,11.114443623094616,78.47371143749896,26.138758309996575,0000,0,0,0,0,Malhan2018,27,2018
ep,True,Gaia-5-M18,Gaia-5,malhan2018,Malhan2018,-,23.70492506229047,137.0,23.0,18.5,154.0,42.0,20.5,145.02364686321943,33.28043933275081,19.552024287565246,32.9108510865297,29.833765086514916,0000,0,0,0,0,Malhan2018,28,2018
st,True,Indus-S19,Indus,shipp2019,"Shipp2019,Shipp2018",-,18.2225370358191,324.14614300484516,-51.96994821697838,16.600000000019914,350.2820103845385,-64.1925341634478,16.600000000015626,335.1306644173976,-58.4532721582046,16.60000000000938,24.80265928829675,21.580223668356243,1010,1,0,1,0,Shipp2018,38,2018
st,True,Pegasus-P19,Pegasus,perottoni2019,Perottoni2019,-,8.577913169439164,328.34404261479085,20.876419268931873,17.999999999999446,333.37118023476995,28.133829069469844,17.999999999999435,330.7104673347679,24.56840198387727,17.999999999999982,226.10191208701298,28.887210279925398,1000,1,0,0,0,Perottoni2019,72,2019
st,True,Sylgr-I21,Sylgr,ibata2021,Ibata2021,-,26.099387404098245,165.30319141426477,-11.612360880178633,2.410752485222368,188.14821114581096,0.3686805136820127,5.795271415173548,175.92929117469293,-3.8678879495333915,3.312924315356609,93.79858380504021,63.816904584756934,1110,1,1,1,0,Ibata2019,88,2019
st,True,Phlegethon-I21,Phlegethon,ibata2021,Ibata2021,-,63.570210240911805,313.7278591174863,-48.51326391165076,3.4828704544513145,325.4999430249762,13.985599558668731,4.102968069303313,323.061990197237,-17.63665568154026,3.2369868481439794,235.07732537552272,6.349360674690921,1110,1,1,1,0,Ibata2019,74,2019
st,True,Slidr-I21,Slidr,ibata2021,Ibata2021,-,34.22172733878257,149.21709664322555,17.56642608778715,2.4370000554826636,178.85610064818013,1.9538459853238221,3.9245062622585816,163.84948423616862,8.051545764303327,3.0738002423227666,284.1745888932685,74.12874419822421,1110,1,1,1,0,Ibata2019,85,2019
