source_id,ra,dec,pmra,pmdec,bp_rp,phot_g_mean_mag,l,b,parallax,parallax_over_error,phi1,phi2,pmphi1,pmphi2,probability
6562717179410660352,325.1130835829216,-47.79062401380001,4.757089,-5.732919,0.634308,19.166355,350.586235,-47.714525,0.268245,1.088147,22.080884,1.101908,-4.554151,-0.227543,0.999976
6562720993342179200,325.1120860779577,-47.55705342670279,5.182088,-5.575613,0.896252,17.557001,350.926629,-47.760892,0.465607,4.794348,22.184313,0.892477,-4.865877,-0.557213,0.997319
6575454845523670400,321.9988101182578,-46.553282962808005,4.991374,-6.275471,0.816945,18.106615,352.890218,-45.837529,-0.229182,-1.545336,24.529655,0.970897,-5.120098,-0.131804,0.898105
6575587920789601280,321.00483241573767,-46.50965409204969,4.51334,-6.380032,0.782332,18.268411,353.076766,-45.16492,0.247435,1.455721,25.150473,1.261121,-4.789103,0.101277,0.999802
6563078124166056832,324.1310128405673,-47.94724769767899,4.933854,-6.092072,0.864737,17.568535,350.551628,-47.037772,0.364988,4.213613,22.600919,1.535787,-4.908736,-0.069506,0.996938
6575651864262839552,320.6590185662556,-46.306881021119885,4.83707,-6.197522,0.65579,19.025464,353.401154,-44.951694,0.15541,0.612958,25.457597,1.200372,-4.9953,-0.246905,0.98388
6575665264561914112,320.17636222672843,-46.16866820665145,4.613405,-6.308496,0.693171,18.986356,353.645443,-44.634683,0.309996,1.192934,25.81631,1.244336,-4.872562,-0.083121,0.998243
6563342591072399616,323.30148591865327,-47.35514414368596,4.918867,-5.703949,0.698793,20.203946,351.549657,-46.594634,-0.925722,-1.554377,23.368462,1.263642,-4.745614,-0.483985,0.999385
6563344966189753600,323.4127566639096,-47.23252968403331,4.9803,-6.080562,0.781837,20.240896,351.707223,-46.689646,-0.607009,-0.8099,23.357848,1.120055,-4.969239,-0.168588,0.989999
6563350940488847488,323.05655597724666,-47.32900474464477,4.958639,-5.702753,0.637544,18.992467,351.627245,-46.435328,-0.345226,-1.551469,23.527776,1.317131,-4.788121,-0.524847,0.998942
6563371006575936000,322.50530307623893,-47.45813776082226,4.573569,-6.214947,0.618451,18.628195,351.530121,-46.046198,-0.046284,-0.27493,23.797732,1.605412,-4.70635,0.060628,0.999942
6563376577148904704,322.63114880688306,-47.38728789642551,4.907947,-5.964468,0.891433,17.625929,351.61148,-46.141519,-0.078373,-0.79852,23.75572,1.502915,-4.879439,-0.306712,0.996912
6563382688887027712,322.2910839783173,-47.40629500748058,4.967341,-6.080572,0.901637,17.876188,351.636453,-45.911192,0.064457,0.601601,23.950049,1.627877,-4.998354,-0.262326,0.983004
6563401071346137472,323.00939718706564,-47.20265252008805,4.872423,-6.394791,0.599623,19.525261,351.815681,-46.424337,0.005212,0.013562,23.614727,1.220012,-5.033895,0.123555,0.98464
6563404404240805760,322.7586917491204,-47.137443061768415,4.871331,-6.212837,0.684305,18.434624,351.948204,-46.266439,0.204283,1.131792,23.795975,1.241582,-4.957841,-0.059784,0.993248
6563510511407947392,324.1292654142117,-47.531574393036664,5.120254,-6.073135,0.576017,18.856312,351.15147,-47.114636,0.042769,0.209467,22.789631,1.165391,-5.06534,-0.172793,0.95496
6563521124273237248,324.24721208752976,-47.210139924800984,4.784817,-6.066521,0.848585,16.913665,351.595146,-47.251641,0.174674,2.477726,22.863183,0.842447,-4.757627,-0.018612,0.999792
6563557305076694912,324.26215548337046,-47.07561287423193,5.387278,-6.287036,0.666814,19.049808,351.787532,-47.285681,-0.04438,-0.178788,22.914628,0.717729,-5.39396,-0.091977,0.071432
6563748345221978368,323.52822243624024,-46.70285449456355,5.242209,-6.452664,0.535975,19.100941,352.451257,-46.854214,0.417676,1.528126,23.530791,0.61324,-5.366911,0.050208,0.098289
6563830228774647424,323.6922318567984,-46.27495076120316,5.302411,-6.616143,0.906209,17.589253,353.044206,-47.033035,0.351657,3.424522,23.625936,0.181036,-5.487622,0.181873,0.009505
6513991703149501184,341.71005293667224,-50.36341331897027,6.845586,-5.506221,0.642736,19.907486,340.02319,-56.828614,-0.618941,-1.281876,11.00926,-0.192071,-5.814203,0.448382,6.0E-6
6510715192859464448,338.50743079477473,-51.212786712180744,5.731086,-5.122265,0.829758,18.355674,340.598305,-54.657222,0.228337,1.697974,12.748443,1.147797,-4.768622,0.059621,0.999828
6510757073084104704,337.8648599619475,-51.086763083138806,5.989227,-5.1163,0.845777,17.734878,341.127314,-54.367326,0.080158,0.873652,13.170775,1.14023,-5.03767,-0.079776,0.97359
6510765701673525376,338.41943495805765,-51.03659079617367,6.171529,-5.383138,0.731871,20.0817,340.910462,-54.69621,0.59117,1.366436,12.850446,0.993867,-5.266905,0.177501,0.451126
6510789890931127040,338.1338123550713,-50.741376086996624,6.019446,-5.013788,0.666455,19.003447,341.508326,-54.68221,0.426132,2.198665,13.106125,0.760932,-5.026901,-0.165358,0.975351
6510793666205628416,337.9206885926907,-50.71839847609933,5.706597,-5.137392,0.768825,20.054698,341.654667,-54.574738,0.522704,1.336325,13.242023,0.777109,-4.769414,0.021829,0.99979
6513551486183521280,341.7232723943023,-51.36684080786443,6.49216,-5.446442,0.792904,20.674038,338.494042,-56.283825,-0.05738,-0.056288,10.764903,0.781186,-5.459287,0.487944,0.023784
6513551864140520576,341.7293481980287,-51.32601226617678,6.917017,-5.643294,0.956809,16.771574,338.551236,-56.30979,0.093295,1.533812,10.770823,0.740611,-5.918137,0.579373,0.0
6513554127585986688,341.76084864868585,-51.22042148057784,6.780876,-5.809367,0.553674,19.05661,338.689531,-56.385053,-0.078745,-0.373412,10.77649,0.633347,-5.823073,0.774731,5.0E-6
6513556635846845440,341.43489918371193,-51.265394227682954,6.05947,-4.719519,0.67458,20.074094,338.825989,-56.190315,0.616462,1.260051,10.964082,0.725398,-4.877239,-0.144804,0.99776
6513556773285833472,341.44124282256587,-51.239604920488745,6.772263,-5.764009,0.778252,18.351307,338.860715,-56.207855,-0.156158,-1.04534,10.966393,0.699408,-5.818751,0.699254,5.0E-6
6513586464397102592,341.87832912771194,-51.01123186394257,6.765595,-5.291708,0.911361,16.989451,338.929927,-56.562733,-0.03239,-0.471611,10.753759,0.412706,-5.681272,0.28454,1.44E-4
6513589110097047936,341.92431775065216,-50.86451714066957,6.973642,-5.172237,0.809144,20.460747,339.12255,-56.668236,-3.73E-4,-5.98E-4,10.759763,0.263277,-5.853499,0.122764,5.0E-6
6513595702869675648,341.4603794106264,-50.95808995191578,6.830491,-5.122523,0.647065,18.749024,339.272738,-56.372496,0.111598,0.562575,11.021986,0.423174,-5.720308,0.060749,1.07E-4
6510863588273532800,337.0193607313845,-50.99503501147513,5.654488,-5.27114,0.886838,17.921659,341.695174,-53.942526,0.483135,4.658596,13.706207,1.207051,-4.793193,0.086249,0.99977
6513642363393699840,340.29818763483917,-51.44163354466872,5.878846,-5.066454,0.769176,20.172466,339.248763,-55.498464,0.549679,1.026326,11.608675,1.071226,-4.829457,0.133274,0.999654
6513680468344181504,340.26601059247264,-51.00828885905294,6.640837,-5.407456,0.604235,19.122685,339.918413,-55.710823,0.019281,0.082605,11.738326,0.657236,-5.652848,0.26071,2.76E-4
6513681670934601728,340.3713006871582,-50.924283224627764,5.83562,-4.745091,0.713703,19.817558,339.983527,-55.81138,-0.007475,-0.021513,11.695494,0.559156,-4.70176,-0.16661,0.999841
6510938389422981632,336.232727892889,-50.486146920559435,5.808709,-5.157961,0.655424,19.155005,342.84614,-53.729246,0.563887,2.153096,14.334254,0.871708,-4.933004,-0.146048,0.994567
6513690157790143872,339.7902138101883,-51.34941806966491,5.737931,-4.890674,0.777796,18.246014,339.68134,-55.278043,0.426943,3.282105,11.938733,1.063659,-4.666502,-0.04769,0.999946
6510946773199881600,337.31378684213394,-50.925954137083224,6.53386,-5.718077,0.795265,20.410251,341.651728,-54.13877,0.308646,0.461989,13.549271,1.086455,-5.753337,0.282494,2.9E-5
6513715790155199872,339.5451090423663,-51.05435215899914,5.747499,-5.170484,0.743892,20.655047,340.264293,-55.299366,-1.095415,-1.005589,12.164321,0.819174,-4.75722,0.193972,0.999935
6510975978977620096,337.781101145319,-50.724606954744985,6.063538,-5.097468,0.595947,19.803711,341.717595,-54.494023,0.075143,0.229751,13.324951,0.808291,-5.105144,-0.131252,0.918722
6510978246720355968,337.5461743506852,-50.712151327733096,5.870666,-5.224299,0.676697,20.270804,341.857043,-54.368726,-0.691079,-1.198869,13.470993,0.839188,-4.965376,0.023456,0.993872
6513723899053458048,339.80593933830755,-51.045624302215906,6.594952,-5.351222,0.600081,19.0857,340.128871,-55.444418,-0.011356,-0.046689,12.008354,0.767784,-5.612245,0.171418,7.39E-4
